"id","project_id","ci_item1_name","ci_item2_name","relation_type","ci_item1","ci_item2"
"48914","2","Web Server","Akash Server Cluster","hostgroupOf","65710","65708"
"48915","2","Collections","Web Server","runs","65714","65710"
"48916","2","E-Commerce","Collections","serviceOf","65712","65714"
"48917","2","Payments","E-Commerce","associatedTo","65719","65712"
"48918","2","App Server","Akash DB Cluster","hostgroupOf","65711","65709"
"48919","2","Invoicing","App Server","runs","65715","65711"
"48920","2","CRM","Invoicing","serviceOf","65713","65715"
"48921","2","Invoicing","CRM","associatedTo","65718","65713"
"48922","2","Booking","E-Commerce","associatedTo","65717","65712"
"53866","2","Akash Server Cluster","CPU_Issue","impacted","65708","62563"
"54329","2","Web Server","Middleware & Database Cluster","calls","65710","66492"
"54331","2","CPU_Issue","INC0034212","incidentOf","62563","66513"
"54332","2","INC0034212","P-2111409","problemOf","66513","66514"
