"id","chart_type","description","context"
"33","scatter","NULL","NULL"
"34","Advanced timeline","NULL","NULL"
"35","lollipop","NULL","NULL"
"36","column pyramid","NULL","NULL"
"37","3d Cylinder","NULL","NULL"
"38","3d Funnel","NULL","NULL"
"39","3d Pyramid","NULL","NULL"
"40","Bell Curve","NULL","NULL"
"41","item","NULL","NULL"
"42","radialbar","NULL","NULL"
"43","tilemap","NULL","NULL"
"44","dependency-wheel","NULL","NULL"
"45","sankey-diagram","NULL","NULL"
"46","dumbbell","NULL","NULL"
"47","histogram","NULL","NULL"
"48","vector plot","NULL","NULL"
"49","waterfall","NULL","NULL"
"50","Polar(Radar)","NULL","NULL"
"51","variwide","NULL","NULL"
"52","bullet","NULL","NULL"
"53","streamgraph","NULL","NULL"
