"entity","entity_type","model_group","organization"
"Job","schema","Essedum","leo1311"
"JobInstance","schema","Essedum","leo1311"
"Group","schema","Essedum","leo1311"
"Business_Process","schema","Essedum","leo1311"
" Application_and_Middleware","schema","Essedum","leo1311"
"CIMapping","schema","Essedum","leo1311"
"Infrastructure","schema","Essedum","leo1311"
"Batch","schema","Essedum","leo1311"
"Application_Data","schema","Essedum","leo1311"
"Application_Issue","schema","Essedum","leo1311"
"BP_L1","schema","Essedum","leo1311"
"BP_SP","schema","Essedum","leo1311"
"BP_SSP","schema","Essedum","leo1311"
