"category","description","name","remarks","tag1","tag2","tag3"
"type","NULL","Type1","NULL","NULL","NULL","NULL"
"type","NULL","Type2","NULL","NULL","NULL","NULL"
"source","NULL","ibmWorkScheduler","NULL","NULL","NULL","NULL"
"relation","NULL","belongsTo","NULL","NULL","NULL","NULL"
"relation","NULL","precededBy","NULL","NULL","NULL","NULL"
"relation","NULL","succeededBy","NULL","NULL","NULL","NULL"
"failure","NULL","DB connection failure","NULL","NULL","NULL","NULL"
"group","NULL","GP1","NULL","NULL","NULL","NULL"
"group","NULL","GP2","NULL","NULL","NULL","NULL"
"dependency type","NULL","Job","NULL","NULL","NULL","NULL"
"dependency type","NULL","Group","NULL","NULL","NULL","NULL"
"source","NULL","Trivoli","NULL","NULL","NULL","NULL"
"graph format","NULL","hour","NULL","NULL","NULL","NULL"
"graph format","NULL","day","NULL","NULL","NULL","NULL"
"graph format","NULL","week","NULL","NULL","NULL","NULL"
"graph format","NULL","month","NULL","NULL","NULL","NULL"
"graph format","NULL","quarter","NULL","NULL","NULL","NULL"
"source","NULL","LoadTesting","NULL","NULL","NULL","NULL"
"source","NULL","MolinaAutoSys","NULL","NULL","NULL","NULL"
"source","NULL","ValuePlus_SAP","NULL","NULL","NULL","NULL"
"source","NULL","LoanIQ","NULL","NULL","NULL","NULL"
"predictiondurationunit","NULL","second","NULL","NULL","NULL","NULL"
"predictiondurationunit","NULL","minute","NULL","NULL","NULL","NULL"
"predictiondurationunit","NULL","hour","NULL","NULL","NULL","NULL"
"predictiondurationunit","NULL","day","NULL","NULL","NULL","NULL"
"predictiondurationunit","NULL","week","NULL","NULL","NULL","NULL"
"predictiondurationunit","NULL","month","NULL","NULL","NULL","NULL"
"predictiondurationunit","NULL","quarter","NULL","NULL","NULL","NULL"
"source","NULL","BJMSource","NULL","NULL","NULL","NULL"
