"id","answer","question_option","coverage"
"16","8","11873","NULL"
"17","7","11886","NULL"
"18","15","11880","NULL"
"19","6","11885","NULL"
"20","14","11879","NULL"
"21","5","11855","NULL"
"22","13","11878","NULL"
"23","4","11854","NULL"
"24","12","11877","NULL"
"25","3","11868","NULL"
"26","11","11876","NULL"
"27","2","11852","NULL"
"28","10","11860","NULL"
"29","1","11851","NULL"
"30","9","11859","NULL"
"284","201","5337","0.0"
"285","201","5338","0.0"
"286","201","5339","0.0"
"287","201","5340","100.0"
"288","201","5341","0.0"
"289","202","5388","NULL"
"290","198","5317","0.0"
"291","198","5318","100.0"
"292","198","5319","0.0"
"293","198","5320","0.0"
"294","198","5321","0.0"
"295","199","5333","NULL"
"296","197","5313","NULL"
"297","196","5293","NULL"
"298","213","5379","100.0"
"299","213","5380","0.0"
"300","213","5381","0.0"
"301","213","5377","0.0"
"302","213","5378","0.0"
"303","212","5363","0.0"
"304","212","5364","0.0"
"305","212","5365","100.0"
"306","212","5366","0.0"
"307","212","5362","0.0"
"308","195","5287","NULL"
"309","211","5357","100.0"
"310","211","5358","0.0"
"311","211","5359","0.0"
"312","211","5360","0.0"
"313","211","5361","0.0"
"314","207","5307","0.0"
"315","207","5308","0.0"
"316","207","5309","80.0"
"317","207","5310","20.0"
"318","207","5311","0.0"
"319","192","5283","50.0"
"320","192","5284","20.0"
"321","192","5285","30.0"
"322","192","5286","0.0"
"323","192","5282","0.0"
"324","209","5352","0.0"
"325","209","5353","100.0"
"326","209","5354","0.0"
"327","209","5355","0.0"
"328","209","5356","0.0"
"329","206","5302","0.0"
"330","206","5303","20.0"
"331","206","5304","30.0"
"332","206","5305","50.0"
"333","206","5306","0.0"
"334","210","5382","0.0"
"335","210","5383","100.0"
"336","210","5384","0.0"
"337","210","5385","0.0"
"338","210","5386","0.0"
"339","191","5277","100.0"
"340","191","5278","0.0"
"341","191","5279","0.0"
"342","191","5280","0.0"
"343","191","5281","0.0"
"344","208","5342","10.0"
"345","208","5343","10.0"
"346","208","5344","80.0"
"347","208","5345","0.0"
"348","208","5346","0.0"
"349","205","5300","NULL"
"350","194","5329","NULL"
"351","193","5347","0.0"
"352","193","5348","0.0"
"353","193","5349","100.0"
"354","193","5350","0.0"
"355","193","5351","0.0"
"356","204","5372","0.0"
"357","204","5373","0.0"
"358","204","5374","0.0"
"359","204","5375","100.0"
"360","204","5376","0.0"
"361","203","5367","0.0"
"362","203","5368","0.0"
"363","203","5369","100.0"
"364","203","5370","0.0"
"365","203","5371","0.0"
"366","200","5322","0.0"
"367","200","5323","100.0"
"368","200","5324","0.0"
"369","200","5325","0.0"
"370","200","5326","0.0"
"888","405","6182","0.0"
"889","405","6280","80.0"
"890","405","6281","20.0"
"891","405","6284","0.0"
"892","405","6285","0.0"
"893","420","6261","0.0"
"894","420","6262","100.0"
"895","420","6263","0.0"
"896","420","6264","0.0"
"897","420","6265","0.0"
"898","388","6103","100.0"
"899","388","6104","0.0"
"900","388","6105","0.0"
"901","388","6107","0.0"
"902","388","6108","0.0"
"903","382","5962","0.0"
"904","382","5963","80.0"
"905","382","5964","20.0"
"906","382","5965","0.0"
"907","382","5966","0.0"
"908","418","6297","80.0"
"909","418","6298","0.0"
"910","418","6299","0.0"
"911","418","6300","0.0"
"912","418","6255","20.0"
"913","436","6078","0.0"
"914","436","6079","0.0"
"915","436","6080","100.0"
"916","436","6081","0.0"
"917","436","6082","0.0"
"918","401","6163","40.0"
"919","401","6164","0.0"
"920","401","6161","0.0"
"921","401","6162","60.0"
"922","416","6243","0.0"
"923","416","6238","0.0"
"924","416","6239","40.0"
"925","416","6242","60.0"
"926","434","6068","0.0"
"927","434","6069","0.0"
"928","434","6070","100.0"
"929","434","6071","0.0"
"930","434","6072","0.0"
"931","399","6156","0.0"
"932","399","6157","50.0"
"933","399","6158","70.0"
"934","399","6159","0.0"
"935","399","6160","0.0"
"936","414","6227","80.0"
"937","414","6228","0.0"
"938","414","6230","0.0"
"939","414","6231","0.0"
"940","414","6225","0.0"
"941","414","6226","20.0"
"942","432","6057","0.0"
"943","432","6058","0.0"
"944","432","6059","100.0"
"945","432","6060","0.0"
"946","432","7596","0.0"
"947","378","5996","0.0"
"948","378","5997","100.0"
"949","378","5998","0.0"
"950","397","6152","0.0"
"951","397","6153","70.0"
"952","397","6154","30.0"
"953","397","6155","0.0"
"954","412","6215","0.0"
"955","412","6216","80.0"
"956","412","6217","20.0"
"957","412","6218","0.0"
"958","430","6051","0.0"
"959","430","6046","0.0"
"960","430","6047","0.0"
"961","430","6048","0.0"
"962","430","6049","100.0"
"963","430","6050","0.0"
"964","395","6138","0.0"
"965","395","6139","20.0"
"966","395","6140","80.0"
"967","395","6141","0.0"
"968","395","6142","0.0"
"969","376","5987","80.0"
"970","376","5988","0.0"
"971","376","5989","20.0"
"972","376","5990","0.0"
"973","376","5991","0.0"
"974","380","6093","0.0"
"975","380","6094","100.0"
"976","380","6095","0.0"
"977","380","6096","0.0"
"978","380","6097","0.0"
"979","410","6205","0.0"
"980","410","6206","100.0"
"981","410","6207","0.0"
"982","410","6208","0.0"
"983","374","5956","20.0"
"984","374","5957","80.0"
"985","428","6035","0.0"
"986","428","6036","0.0"
"987","428","6037","0.0"
"988","428","6038","0.0"
"989","428","6033","0.0"
"990","428","6034","100.0"
"991","393","6131","50.0"
"992","393","6132","0.0"
"993","393","6129","0.0"
"994","393","6130","50.0"
"995","387","5983","0.0"
"996","387","5984","20.0"
"997","387","5985","80.0"
"998","387","5986","0.0"
"999","408","6196","0.0"
"1000","408","6197","50.0"
"1001","408","6198","60.0"
"1002","408","6199","0.0"
"1003","391","6118","100.0"
"1004","391","6119","0.0"
"1005","391","6120","0.0"
"1006","391","6121","0.0"
"1007","391","6122","0.0"
"1008","391","6123","0.0"
"1009","385","5976","0.0"
"1010","385","5977","100.0"
"1011","385","5978","0.0"
"1012","406","6183","0.0"
"1013","406","6184","90.0"
"1014","406","6185","10.0"
"1015","406","6186","0.0"
"1016","406","6187","0.0"
"1017","406","6188","0.0"
"1018","424","6301","0.0"
"1019","424","6302","0.0"
"1020","424","6303","0.0"
"1021","424","6018","100.0"
"1022","389","6109","70.0"
"1023","389","6110","30.0"
"1024","389","6111","0.0"
"1025","389","6112","0.0"
"1026","383","5967","100.0"
"1027","383","5968","0.0"
"1028","383","5969","0.0"
"1029","383","5970","0.0"
"1030","404","6171","20.0"
"1031","404","6172","80.0"
"1032","404","6173","0.0"
"1033","404","6174","0.0"
"1034","404","6175","0.0"
