id,metric_id,dimension_id,metric_weightage,usm_project_id,baseline_value,priority,business_impact
530,684,207,100,27,NULL,NULL,NULL
531,685,207,100,27,NULL,NULL,NULL
532,686,207,100,27,NULL,NULL,NULL
533,687,207,100,27,NULL,NULL,NULL
534,688,207,100,27,NULL,NULL,NULL
535,689,207,100,27,NULL,NULL,NULL
536,690,207,100,27,NULL,NULL,NULL
537,691,207,100,27,NULL,NULL,NULL
538,692,207,100,27,NULL,NULL,NULL
539,693,207,100,27,NULL,NULL,NULL
540,694,208,100,27,NULL,NULL,NULL
541,695,208,100,27,NULL,NULL,NULL
542,696,208,100,27,NULL,NULL,NULL
543,697,208,100,27,NULL,NULL,NULL
544,698,208,100,27,NULL,NULL,NULL
545,699,208,100,27,NULL,NULL,NULL
546,700,208,100,27,NULL,NULL,NULL
547,701,208,100,27,NULL,NULL,NULL
548,702,208,100,27,NULL,NULL,NULL
549,703,208,100,27,NULL,NULL,NULL
550,704,209,100,27,NULL,NULL,NULL
551,705,209,100,27,NULL,NULL,NULL
552,706,209,100,27,NULL,NULL,NULL
553,707,209,100,27,NULL,NULL,NULL
554,708,209,100,27,NULL,NULL,NULL
555,709,209,100,27,NULL,NULL,NULL
556,710,209,100,27,NULL,NULL,NULL
557,711,209,100,27,NULL,NULL,NULL
558,712,209,100,27,NULL,NULL,NULL
559,713,209,100,27,NULL,NULL,NULL
560,714,210,100,27,NULL,NULL,NULL
561,715,210,100,27,NULL,NULL,NULL
562,716,210,100,27,NULL,NULL,NULL
563,717,210,100,27,NULL,NULL,NULL
564,718,210,100,27,NULL,NULL,NULL
565,719,210,100,27,NULL,NULL,NULL
566,720,210,100,27,NULL,NULL,NULL
567,721,210,100,27,NULL,NULL,NULL
568,722,210,100,27,NULL,NULL,NULL
569,723,210,100,27,NULL,NULL,NULL
570,724,211,100,27,NULL,NULL,NULL
571,725,211,100,27,NULL,NULL,NULL
572,726,211,100,27,NULL,NULL,NULL
573,727,211,100,27,NULL,NULL,NULL
574,728,211,100,27,NULL,NULL,NULL
575,729,211,100,27,NULL,NULL,NULL
576,730,211,100,27,NULL,NULL,NULL
577,731,212,100,27,NULL,NULL,NULL
578,732,212,100,27,NULL,NULL,NULL
579,733,212,100,27,NULL,NULL,NULL
580,734,212,100,27,NULL,NULL,NULL
581,735,212,100,27,NULL,NULL,NULL
582,736,212,100,27,NULL,NULL,NULL
583,737,212,100,27,NULL,NULL,NULL
584,738,212,100,27,NULL,NULL,NULL
585,739,212,100,27,NULL,NULL,NULL
586,740,212,100,27,NULL,NULL,NULL
587,741,214,100,27,NULL,NULL,NULL
588,742,214,100,27,NULL,NULL,NULL
589,743,214,100,27,NULL,NULL,NULL
590,744,214,100,27,NULL,NULL,NULL
591,745,214,100,27,NULL,NULL,NULL
592,746,214,100,27,NULL,NULL,NULL
593,747,214,100,27,NULL,NULL,NULL
594,748,214,100,27,NULL,NULL,NULL
595,749,214,100,27,NULL,NULL,NULL
596,750,214,100,27,NULL,NULL,NULL
597,751,216,100,27,NULL,NULL,NULL
598,752,216,100,27,NULL,NULL,NULL
599,753,216,100,27,NULL,NULL,NULL
600,754,216,100,27,NULL,NULL,NULL
