id,section,category,parent_name,parent_id,parent_category,weightage,questionnaire_id,dimension_details,mandatory_all_questions,last_updated_date,last_updated_by,dimension_level,min_value,max_value,top_quartile_value,average_quartile_value,bottom_quartile_value,user_min_value,user_max_value,user_top_quartile_value,user_average_quartile_value,user_bottom_quartile_value,dir
"206","Design & Build","Dimension","NULL","NULL","NULL","33.0","133","single point of contact throughout the entire process, which can result in faster and more efficient communication. The design and build method can also result in cost savings, as potential issues can be identified and addressed earlier in the process.","NULL","NULL","NULL","0","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"207","Cyber Resilience","L1 Sub Dim","Design & Build","206","Dimension","12.0","133","NULL","NULL","NULL","NULL","1","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"208","Data resilience","L1 Sub Dim","Design & Build","206","Dimension","12.0","133","NULL","NULL","NULL","NULL","1","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"209","Application layer resilience","L1 Sub Dim","Design & Build","206","Dimension","12.0","133","NULL","NULL","NULL","NULL","1","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"210","Infra platforms","L1 Sub Dim","Design & Build","206","Dimension","12.0","133","NULL","NULL","NULL","NULL","1","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"211","Data Centre/ Cloud Hosting","L1 Sub Dim","Design & Build","206","Dimension","12.0","133","NULL","NULL","NULL","NULL","1","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"212","Service-owned infrastructure layer","L1 Sub Dim","Design & Build","206","Dimension","12.0","133","NULL","NULL","NULL","NULL","1","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"213","Service Management","Dimension","NULL","NULL","NULL","33.0","133","management discipline aimed at providing quality services that customers will value, buy and use.","NULL","NULL","NULL","0","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"214","Service Management","L1 Sub Dim","Service Management","213","Dimension","100.0","133","NULL","NULL","NULL","NULL","1","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"215","Monitoring & Alerting","Dimension","NULL","NULL","NULL","33.0","133","provides selected application, service, and network event information, together with groups of alerts brought together by intelligent underlying analytics, to help you see the information you need to perform effective troubleshoot and resolution activities.","NULL","NULL","NULL","0","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
"216","Monitoring & Alerting","L1 Sub Dim","Monitoring & Alerting","215","Dimension","100.0","133","NULL","NULL","NULL","NULL","1","0.0","5.0","3.55","2.84","1.87","NULL","NULL","NULL","NULL","NULL","Up"
328,Landscape Complexity and stability,Dimension,null,NULL,NULL,0,143,"This is an enterprise architecture, structure and workings of IT in an organization,complexity involved and stability of systems. In more detail, an IT Landscape itself, is a coherent set of interconnected IT parts, like hardware and software within an enterprise, business or organization.",NULL,NULL,NULL,0,0,5,3.8,0,3.17,0,5,3.75,2.5,1.25,"Up"
329,Org Structure,L1 Sub Dim,Operating Model,330,Dimension,30,143,NULL,NULL,NULL,NULL,1,0,5,3.8,3.4,3.17,0,5,3.75,2.5,1.25,"Up"
330,Operating Model,Dimension,null,NULL,NULL,10,143,"the model through which your business operates. This includes your processes and functions, digital hardware and software, physical infrastructure and equipment, and people capabilities and capacity.",NULL,NULL,NULL,0,0,5,3.8,3.485,3.17,0,5,3.75,2.5,1.25,"Up"
331,Service delivery model,L1 Sub Dim,Landscape Complexity and stability,328,Dimension,30,143,NULL,NULL,NULL,NULL,1,0,5,3.8,0,3.17,0,5,3.75,2.5,1.25,"Up"
332,Service Delivery Model,L1 Sub Dim,Operating Model,330,Dimension,30,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.95,3.17,0,5,3.75,2.5,1.25,"Up"
333,Application landscape size,L1 Sub Dim,Landscape Complexity and stability,328,Dimension,0,143,NULL,NULL,NULL,NULL,1,0,5,3.8,0,3.17,0,5,3.75,2.5,1.25,"Up"
334,Workload volume,L1 Sub Dim,Landscape Complexity and stability,328,Dimension,0,143,NULL,NULL,NULL,NULL,1,0,5,3.8,0,3.17,0,5,3.75,2.5,1.25,"Up"
335,Service Automation,Dimension,null,NULL,NULL,35,143,"the process of integrating all domain and functionality tools into various automation layers in order to have unified interface for all workflows. ",NULL,NULL,NULL,0,0,5,3.8,3.1,3.17,0,5,3.75,2.5,1.25,"Up"
336,Incident Management,L1 Sub Dim,Service Automation,335,Dimension,25,143,NULL,NULL,NULL,NULL,1,0,5,3.8,3.335,3.17,0,5,3.75,2.5,1.25,"Up"
337,Resilience,Dimension,null,NULL,NULL,30,143,"emphasis on limiting the number of system failures that arise from external events",NULL,NULL,NULL,0,0,5,3.8,2.555,3.17,0,5,3.75,2.5,1.25,"Up"
338,Performance,L1 Sub Dim,Resilience,337,Dimension,20,143,NULL,NULL,NULL,NULL,1,0,5,3.8,3.5,3.17,0,5,3.75,2.5,1.25,"Up"
339,AIOps,L1 Sub Dim,Resilience,337,Dimension,20,143,NULL,NULL,NULL,NULL,1,0,5,3.8,1.7,3.17,0,5,3.75,2.5,1.25,"Up"
340,Observability,L1 Sub Dim,Resilience,337,Dimension,20,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.825,3.17,0,5,3.75,2.5,1.25,"Up"
341,Request Fulfillment,L1 Sub Dim,Service Automation,335,Dimension,10,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.5,3.17,0,5,3.75,2.5,1.25,"Up"
342,Problem Management,L1 Sub Dim,Service Automation,335,Dimension,15,143,NULL,NULL,NULL,NULL,1,0,5,3.8,4,3.17,0,5,3.75,2.5,1.25,"Up"
343,Continuous improvement,L1 Sub Dim,Service Automation,335,Dimension,10,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.75,3.17,0,5,3.75,2.5,1.25,"Up"
344,Problem ticket coverage,L1 Sub Dim,Landscape Complexity and stability,328,Dimension,0,143,NULL,NULL,NULL,NULL,1,0,5,3.8,0,3.17,0,5,3.75,2.5,1.25,"Up"
345,Ticket volume and scope,L1 Sub Dim,Landscape Complexity and stability,328,Dimension,0,143,NULL,NULL,NULL,NULL,1,0,5,3.8,0,3.17,0,5,3.75,2.5,1.25,"Up"
346,Work effort,L1 Sub Dim,Landscape Complexity and stability,328,Dimension,0,143,NULL,NULL,NULL,NULL,1,0,5,3.8,0,3.17,0,5,3.75,2.5,1.25,"Up"
347,Change Management,L1 Sub Dim,Service Automation,335,Dimension,10,143,NULL,NULL,NULL,NULL,1,0,5,3.8,3.8,3.17,0,5,3.75,2.5,1.25,"Up"
348,Availability,L1 Sub Dim,Resilience,337,Dimension,20,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.75,3.17,0,5,3.75,2.5,1.25,"Up"
349,Knowledge Management,L1 Sub Dim,Operating Model,330,Dimension,40,143,NULL,NULL,NULL,NULL,1,0,5,3.8,3.95,3.17,0,5,3.75,2.5,1.25,"Up"
350,Remediation,L1 Sub Dim,Resilience,337,Dimension,20,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2,3.17,0,5,3.75,2.5,1.25,"Up"
351,Business Alignment,Dimension,null,NULL,NULL,25,143,"deliver better tools, resources, and solutions to the organization. It is all about reorienting IT from cost center to business driver so that your work is part of the fabric of how each organizational group functions.",NULL,NULL,NULL,0,0,5,3.8,2.405,3.17,0,5,3.75,2.5,1.25,"Up"
352,User Experience,L1 Sub Dim,Business Alignment,351,Dimension,30,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.25,3.17,0,5,3.75,2.5,1.25,"Up"
353,Value Management,L1 Sub Dim,Business Alignment,351,Dimension,40,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.3,3.17,0,5,3.75,2.5,1.25,"Up"
354,Event Management,L1 Sub Dim,Service Automation,335,Dimension,20,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.375,3.17,0,5,3.75,2.5,1.25,"Up"
355,Automation Approach,L1 Sub Dim,Service Automation,335,Dimension,10,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.85,3.17,0,5,3.75,2.5,1.25,"Up"
356,Agility,L1 Sub Dim,Business Alignment,351,Dimension,30,143,NULL,NULL,NULL,NULL,1,0,5,3.8,2.7,3.17,0,5,3.75,2.5,1.25,"Up"
3281,People & Planet,Dimension,null,NULL,NULL,100,144,"This considers the potential of applied AI systems to promote human-centric, trustworthy AI that benefits people and planet. In each context, it identifies individuals and groups that interact with or are affected by an applied AI system. Core characteristics include users and impacted stakeholders, as well as the applicationâ€™s optionality and how it impacts human rights, the environment, well-being, society and the world of work.",NULL,NULL,NULL,0,0,30,4.47,1.03,0.03,0,5,3.4,2.4,2.4,"Up"
3282,Stakeholders,L1 Sub Dim,People & Planet,3281,Dimension,100,144,,NULL,NULL,NULL,1,0,30,4.47,0.312,0.03,0,5,3.2,2.4,2.4,"Up"
3283,Human Rights,L1 Sub Dim,People & Planet,3281,Dimension,100,144,NULL,NULL,NULL,NULL,1,0,30,4.47,0.4,0.03,0,5,1.26,0.9,0.54,"Up"
3284,Well-being and Environment,L1 Sub Dim,People & Planet,3281,Dimension,100,144,NULL,NULL,NULL,NULL,1,0,30,4.47,0.267,0.03,0,5,1.33,0.95,0.57,"Up"
3285,Displacement,L1 Sub Dim,People & Planet,3281,Dimension,100,144,NULL,NULL,NULL,NULL,1,0,30,4.47,0.052,0.03,0,5,0.7,0.5,0.3,"Up"
3286,Economic Context,Dimension,null,NULL,NULL,100,144,"This describes the economic and sectoral environment in which an applied AI system is implemented. It usually pertains to an applied AI application rather than to a generic AI system, and describes the type of organisation and functional area for which an AI system is developed. Characteristics include the sector in which the system is deployed (e.g. healthcare, finance, manufacturing), its business function and model; its critical (or non-critical) nature; its deployment, impact and scale, and its technological maturity.",NULL,NULL,NULL,0,0,30,4.47,0.568,0.03,0,5,1.05,0.75,0.45,"Up"
3287,Business Area,L1 Sub Dim,Economic Context,3286,Dimension,100,144,NULL,NULL,NULL,NULL,1,0,30,4.47,0.177,0.03,0,5,0.14,0.1,0.06,"Up"
3288,Criticality,L1 Sub Dim,Economic Context,3286,Dimension,100,144,NULL,NULL,NULL,NULL,1,0,30,4.47,0.208,0.03,0,5,0.35,0.25,0.15,"Up"
3289,Vendor Management,L1 Sub Dim,Economic Context,3286,Dimension,100,144,NULL,NULL,NULL,NULL,1,0,30,4.47,0.183,0.03,0,5,0.56,0.4,0.24,"Up"
3291,Data and Input,Dimension,null,NULL,NULL,100,144,"This describes the data and/or expert input with which an AI model builds a representation of the environment. Characteristics include the provenance of data and inputs, machine and/or human collection method, data structure and format, and data properties. Data & Input characteristics can pertain to data used to train an AI system (“in the lab”) and data used in production (“in the field”).",NULL,NULL,NULL,0,0,30,4.47,0.29,0.03,0,5,0.84,0.6,0.36,"Up"
3292,Data lifecycle management,L1 Sub Dim,Data and Input,3291,Dimension,100,144,NULL,NULL,NULL,NULL,1,0,30,4.47,0.223,0.03,0,5,0.56,0.4,0.24,"Up"
3293,Rights & Identifiability,L1 Sub Dim,Data and Input,3291,Dimension,100,144,NULL,NULL,NULL,NULL,1,0,30,4.47,0.067,0.03,0,5,0.28,0.2,0.12,"Up"
