id,metric_name,metric_definition,dimension_id,priority,nature,category,direction,digital,unit_of_measurement,weightage,last_updated_date,last_updated_by,type,min_value,max_value
684,"SLO violation duration graph, response time and load for your critical API calls","SLO violation duration graph, response time and load for your critical API calls",207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
685,Tracing Error Rate for running applications,Tracing Error Rate for running applications,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
686,Database response time,Database response time,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
687,End-user response time,End-user response time,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
688,Requests per minute,Requests per minute,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
689,Availability,Availability,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
690,Session duration,Session duration,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
691,Tracking latency across the entire system,Tracking latency across the entire system,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
692,Traffic based on demand on the system,Traffic based on demand on the system,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
693,Level of saturation ensuring service performance for customers,Level of saturation ensuring service performance for customers,207,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
694,"SLO violation duration graph, response time and load for your critical API calls","SLO violation duration graph, response time and load for your critical API calls",208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
695,Tracing Error Rate for running applications,Tracing Error Rate for running applications,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
696,Database response time,Database response time,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
697,End-user response time,End-user response time,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
698,Requests per minute,Requests per minute,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
699,Availability,Availability,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
700,Session duration,Session duration,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
701,Tracking latency across the entire system,Tracking latency across the entire system,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
702,Traffic based on demand on the system,Traffic based on demand on the system,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
703,Level of saturation ensuring service performance for customers,Level of saturation ensuring service performance for customers,208,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
704,"SLO violation duration graph, response time and load for your critical API calls","SLO violation duration graph, response time and load for your critical API calls",209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
705,Tracing Error Rate for running applications,Tracing Error Rate for running applications,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
706,Database response time,Database response time,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
707,End-user response time,End-user response time,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
708,Requests per minute,Requests per minute,209,NULL,NULL,AMS Effectiveness,Up,NULL,%,100,NULL,NULL,NULL,0,5
