"id","question_sl_no","question_text","use_in_score","question_type_id","questionnaire_id","weightage","metric_dimension_id"
"777","1","Does the application have DDoS protection from multiple telcos / service providers and local appliance(s)?","NULL","9","133","6.0","530"
"778","2","Do your services have network level protection (firewall) on inbound communication only?","NULL","9","133","6.0","531"
"779","3","Does the application have DDoS protection from both a telco / service provider and local appliance?","NULL","9","133","6.0","532"
"780","4","Are your services and supporting infrastructure capable of absorbing 2x normal capacity?","NULL","9","133","6.0","533"
"781","5","Is your certificate renewal process fully automated?","NULL","9","133","6.0","534"
"782","6","Does the application have DDoS protection either a telco / service provider or from a local appliance?","NULL","9","133","6.0","535"
"783","7","Do your services have device or service level protection both for inbound and outbound communication?","NULL","9","133","6.0","536"
"784","8","Are your services and supporting infrastructure capable of absorbing 10x normal capacity?","NULL","9","133","6.0","537"
"785","9","Is your certificate renewal process automated with manual application (or other manual steps)?","NULL","9","133","6.0","538"
"786","10","Can the services and supporting infrastructure absorb attack traffic by auto-scaling, with no impact to service availability?","NULL","9","133","6.0","539"
"787","11","In addition to multi-level DDoS protection, can supporting infrastructure withstand DDoS load by automatically scaling?","NULL","9","133","6.0","530"
"788","12","Do your services have network level protection (firewall) on inbound and outbound communication?","NULL","9","133","6.0","531"
"789","13","Is your certificate renewal process fully automated and the issuing CA / PKI service higly available?","NULL","9","133","6.0","532"
"790","14","Do your services have device or service level protection for inbound and network level protection for outbound communication?","NULL","9","133","6.0","533"
"791","15","Is your certificate renewal process manual with owners alerted before expiration ?","NULL","9","133","6.0","534"
"792","16","Are your services and supporting infrastructure capable of absorbing 5x normal capacity?","NULL","9","133","6.0","535"
"793","17","Does a signed and monitored Contract (SLA) exist with the data owner, describing data quality, timeliness and error procedures?","NULL","9","133","2.0","540"
"794","18","Have your data transformation processes been documented and include source-target mappings to enable analysing data flows?","NULL","9","133","2.0","541"
"795","19","Have data ingerity checks been implemented as part of data processing - for example that the number of output records matches source data, and that source and output data are consistent?","NULL","9","133","2.0","542"
"796","20","Does the data store have user activity logging and monitoring capability for any data access of updates performed by users?","NULL","9","133","2.0","543"
"797","21","Are access and views to data controlled by contextual, fine-grained entitlement logic dynamically based on security, location, role etc.?","NULL","9","133","2.0","544"
"798","22","Do you employ regular data quality checks throughout the chain of processing, ensuring it does not become corrupted?","NULL","9","133","2.0","545"
"799","23","Is automated process in place for detecting and rolling back unexpected data deletion?","NULL","9","133","2.0","546"
"800","24","Have exit strategies been explored for data migration scenarios to another platform?","NULL","9","133","2.0","547"
"801","25","Have procedures been implemented to ensure a test plan is in place as part of the software development for data transformation workloads?","NULL","9","133","2.0","548"
"802","26","Are toll-gate checks in place prior to manual data deletion - for example that backups exist and any active processing has completed, only validated deletion code is used etc.?","NULL","9","133","2.0","549"
"803","27","Do automated tests include immediate systems consuming the data, confirming successful downstream processing?","NULL","9","133","2.0","540"
"804","28","Do you utilise process orchestration frameworks for signalling and verification of successful upstream processing?","NULL","9","133","2.0","541"
"805","29","Will the ingestion process automatically recover and re-run in case of failures?","NULL","9","133","2.0","542"
"806","30","Is regular data synchronisation to a repository on another vendor platform in place?","NULL","9","133","2.0","543"
"807","31","Are automatic event notifications in place for when source system data is unavailable, enabling action to be taken?","NULL","9","133","2.0","544"
"808","32","Do you have basic, automated source data consistency checks in place covering field completeness, format etc?","NULL","9","133","2.0","545"
