"id","permission","role"
"36","6","6"
"37","5","6"
"38","3","6"
"39","4","6"
"40","7","1"
"41","9","1"
"43","8","1"
"51","14","1"
"52","13","1"
"53","12","1"
"54","15","1"
"59","7","11"
"60","8","11"
"61","9","11"
"63","16","6"
"64","15","6"
"65","14","6"
"66","24","6"
"67","18","6"
"68","17","6"
"69","20","6"
"70","19","6"
"71","12","6"
"72","13","6"
"73","11","6"
"74","10","6"
"75","7","6"
"76","8","6"
"77","9","6"
"78","16","11"
"79","15","11"
"80","14","11"
"81","24","11"
"82","18","11"
"83","17","11"
"84","20","11"
"85","19","11"
"86","12","11"
"87","13","11"
"88","11","11"
"89","10","11"
"119","16","1"
"123","18","1"
"144","19","1"
"145","20","1"
"146","11","1"
"147","27","1"
"148","26","1"
"149","25","1"
