"id","api","type","permission_id","description","is_whitelisted"
"1","/api/getConfigDetails","ALL",28,"For all Dashboard Details","true"
"1942","/api/authenticate","ALL",28,"For all Api Authenticate","true"
"1943","/api/userInfo","ALL",28,"For all UserInfo","true"
"1944","/api/dash-constants","ALL",28,"For all Dashboard-DashConstant","true"
"1945","/api/dash-constants/page","ALL",28,"For all Dashboard-Constant Page","true"
"1946","/api/get-dash-constants?projectId=1","ALL",28,"For all Project","true"
"1947","/api/get-dash-constants?projectId=2","ALL",28,"For all Project","true"
"1948","/api/essedum/logout","ALL",28,"to logout from essedum","true"
"1949","/api/essedum/authorize","ALL",28,"For all Project","true"
"1950","/api/registerUser","POST",28,"This is the initial step before user login. So, frontend unable to send project id in request headers","true"
